"id","Intervention","Measure","z"
"egs1","Positive Information","BAT",0.204416655
"egs1","Positive Information","FBQ",-0.614420014
"lrx2","Positive Information","BAT",-0.02343934
"lrx2","Positive Information","FBQ",-1.487500246
"zej3","Positive Information","BAT",-0.498272113
"zej3","Positive Information","FBQ",-1.662116292
"bcv4","Positive Information","BAT",-0.101515869
"bcv4","Positive Information","FBQ",-1.312884199
"nzm5","Positive Information","BAT",-0.166845211
"nzm5","Positive Information","FBQ",-0.701728037
"fhf6","Positive Information","BAT",0.081724966
"fhf6","Positive Information","FBQ",0.520584288
"xra7","Positive Information","BAT",-0.071241297
"xra7","Positive Information","FBQ",-1.05096013
"czq8","Positive Information","BAT",-0.663985563
"czq8","Positive Information","FBQ",1.219048473
"uoj9","Positive Information","BAT",0.282493185
"uoj9","Positive Information","FBQ",-0.177879898
"ugf10","Positive Information","BAT",-3.718530616
"ugf10","Positive Information","FBQ",-1.138268153
"ljr11","Positive Information","BAT",0.013208827
"ljr11","Positive Information","FBQ",-2.011348385
"ktz12","Positive Information","BAT",0.118373133
"ktz12","Positive Information","FBQ",-0.265187921
"qer13","Positive Information","BAT",0.245845018
"qer13","Positive Information","FBQ",-0.701728037
"kmy14","Positive Information","BAT",-1.192993888
"kmy14","Positive Information","FBQ",-1.225576176
"nld15","Positive Information","BAT",0.070571176
"nld15","Positive Information","FBQ",-1.574808269
"tes16","Positive Information","BAT",-1.597717124
"tes16","Positive Information","FBQ",0.957124404
"eno17","Positive Information","BAT",0.269745997
"eno17","Positive Information","FBQ",0.345968241
"jzp18","Positive Information","BAT",0.435459448
"jzp18","Positive Information","FBQ",-1.138268153
"wtq19","Positive Information","BAT",0.207603453
"wtq19","Positive Information","FBQ",-3.495584779
"wpi20","Positive Information","BAT",0.107219343
"wpi20","Positive Information","FBQ",-0.963652106
"jhx21","Positive Information","BAT",-0.4010748
"jhx21","Positive Information","FBQ",-0.177879898
"bgi22","Positive Information","BAT",0.582052116
"bgi22","Positive Information","FBQ",-0.52711199
"asl23","Positive Information","BAT",0.011615429
"asl23","Positive Information","FBQ",0.433276265
"dsv24","Positive Information","BAT",0.236284627
"dsv24","Positive Information","FBQ",-3.320968733
"rrb25","Positive Information","BAT",0.089691959
"rrb25","Positive Information","FBQ",-0.701728037
"psv26","Positive Information","BAT",0.140680713
"psv26","Positive Information","FBQ",-0.78903606
"qmj27","Positive Information","BAT",0.25540541
"qmj27","Positive Information","FBQ",-1.225576176
"qqy28","Positive Information","BAT",-0.424975778
"qqy28","Positive Information","FBQ",0.520584288
"geq29","Positive Information","BAT",-0.048933717
"geq29","Positive Information","FBQ",-2.273272454
"aqa30","Positive Information","BAT",-2.45815235
"aqa30","Positive Information","FBQ",-1.836732338
"klp31","Positive Information","BAT",-1.036840828
"klp31","Positive Information","FBQ",0.607892311
"vsp32","Positive Information","BAT",-0.101515869
"vsp32","Positive Information","FBQ",0.433276265
"nbe33","Positive Information","BAT",-0.002725158
"nbe33","Positive Information","FBQ",-1.662116292
"ryv34","Positive Information","BAT",-0.624150599
"ryv34","Positive Information","FBQ",-1.574808269
"tlf35","Positive Information","BAT",-0.066461101
"tlf35","Positive Information","FBQ",0.607892311
"jqm36","Positive Information","BAT",0.225130837
"jqm36","Positive Information","FBQ",-1.225576176
